neighbourhood,latitude,longitude,room_type,price,stars
Indre By,55.69145,12.57405,Entire home/apt,1600,1
sterbro,55.70195,12.57677,Entire home/apt,780,2
sterbro,55.70809,12.58299,Entire home/apt,744,3
Frederiksberg,55.67552,12.53727,Entire home/apt,2250,1
Amager Vest,55.65807,12.60758,Entire home/apt,900,1
sterbro,55.73247,12.56629,Entire home/apt,2500,2
Vesterbro-Kongens Enghave,55.67204,12.56491,Entire home/apt,2500,5
Vesterbro-Kongens Enghave,55.67159,12.55736,Entire home/apt,1004,1
Amager Vest,55.66709,12.58084,Entire home/apt,2880,5
sterbro,55.71073,12.58207,Entire home/apt,950,2
sterbro,55.69807,12.58311,Entire home/apt,1000,1
Vesterbro-Kongens Enghave,55.66634,12.55771,Private room,450,2
Frederiksberg,55.68449,12.5395,Entire home/apt,900,2
Indre By,55.68325,12.56315,Entire home/apt,1021,4
Vesterbro-Kongens Enghave,55.67026,12.56112,Entire home/apt,780,4
Amager Vest,55.63514,12.58297,Entire home/apt,700,4
sterbro,55.69326,12.5681,Entire home/apt,714,1
Vesterbro-Kongens Enghave,55.66863,12.54604,Entire home/apt,800,3
Nrrebro,55.69286,12.56578,Entire home/apt,1100,5
Indre By,55.69067,12.57576,Entire home/apt,1376,3
Nrrebro,55.69636,12.54504,Entire home/apt,1200,2
Nrrebro,55.68665,12.54778,Entire home/apt,686,3
Vesterbro-Kongens Enghave,55.66327,12.54898,Entire home/apt,893,4
Indre By,55.67007,12.59399,Entire home/apt,1339,2
Nrrebro,55.695,12.54616,Entire home/apt,750,3
Vesterbro-Kongens Enghave,55.66452,12.5519,Entire home/apt,670,5
Frederiksberg,55.66832,12.53198,Entire home/apt,1800,2
Indre By,55.6827,12.57309,Entire home/apt,1599,3
Indre By,55.675,12.5905,Entire home/apt,350,4
Frederiksberg,55.67918,12.50768,Private room,407,5
Vesterbro-Kongens Enghave,55.66643,12.55064,Entire home/apt,1200,2
Indre By,55.69639,12.58434,Entire home/apt,976,2
Amager st,55.66017,12.61735,Private room,450,4
Indre By,55.6879,12.5892,Private room,850,3
Nrrebro,55.70185,12.5463,Entire home/apt,1300,3
Vesterbro-Kongens Enghave,55.66638,12.53669,Entire home/apt,1500,2
Vesterbro-Kongens Enghave,55.66538,12.55429,Entire home/apt,800,5
Frederiksberg,55.68332,12.54934,Entire home/apt,1356,1
Frederiksberg,55.68423,12.52943,Entire home/apt,900,1
Amager Vest,55.66639,12.59773,Private room,414,3
Nrrebro,55.68834,12.55067,Entire home/apt,900,4
Valby,55.66619,12.52085,Entire home/apt,1150,1
Nrrebro,55.69747,12.55197,Entire home/apt,1116,1
Amager Vest,55.64036,12.55266,Entire home/apt,984,3
Vanlse,55.69608,12.49629,Entire home/apt,750,4
Vesterbro-Kongens Enghave,55.66793,12.54609,Entire home/apt,1190,2
Amager Vest,55.66827,12.58085,Private room,409,3
Brnshj-Husum,55.70394,12.48354,Entire home/apt,1800,1
Indre By,55.69001,12.57315,Entire home/apt,1116,4
Indre By,55.68292,12.56325,Entire home/apt,1000,2
Indre By,55.67112,12.59165,Entire home/apt,1600,1
Amager st,55.65286,12.62752,Entire home/apt,800,5
Indre By,55.68789,12.59094,Entire home/apt,2000,3
Frederiksberg,55.68448,12.51957,Entire home/apt,750,4
Brnshj-Husum,55.71164,12.5059,Private room,600,3
Brnshj-Husum,55.71088,12.50751,Private room,500,5
Valby,55.66744,12.493,Entire home/apt,950,5
Nrrebro,55.68992,12.56523,Entire home/apt,930,5
Indre By,55.68084,12.57401,Entire home/apt,1529,1
Indre By,55.6786,12.55948,Entire home/apt,1200,3
Amager st,55.65266,12.63972,Entire home/apt,3000,5
Nrrebro,55.69019,12.56167,Entire home/apt,1150,4
sterbro,55.70466,12.58439,Entire home/apt,800,1
Vesterbro-Kongens Enghave,55.66607,12.55027,Entire home/apt,1000,1
Nrrebro,55.68936,12.56438,Entire home/apt,1000,4
Vesterbro-Kongens Enghave,55.66639,12.54657,Entire home/apt,800,4
Indre By,55.67424,12.59703,Entire home/apt,950,1
Nrrebro,55.68737,12.54282,Entire home/apt,1500,4
Amager Vest,55.66648,12.58271,Entire home/apt,843,5
Vesterbro-Kongens Enghave,55.66611,12.55368,Entire home/apt,750,3
Frederiksberg,55.68435,12.53637,Entire home/apt,599,5
Amager Vest,55.65661,12.60687,Entire home/apt,1375,3
Nrrebro,55.6887,12.56141,Entire home/apt,744,2
Frederiksberg,55.68035,12.5531,Entire home/apt,1200,1
Indre By,55.69584,12.57621,Entire home/apt,1000,5
Amager Vest,55.63363,12.58177,Entire home/apt,1207,3
Amager Vest,55.63094,12.58127,Private room,664,4
Amager Vest,55.63558,12.58183,Private room,486,5
Vesterbro-Kongens Enghave,55.66834,12.55066,Entire home/apt,1100,5
Amager Vest,55.66367,12.57773,Entire home/apt,975,4
Amager st,55.65704,12.62712,Entire home/apt,1400,3
Indre By,55.67439,12.58938,Entire home/apt,1695,1
Valby,55.6673,12.50546,Private room,297,2
Frederiksberg,55.6875,12.51762,Entire home/apt,662,2
sterbro,55.70331,12.58203,Entire home/apt,2200,4
sterbro,55.69802,12.58286,Entire home/apt,2305,4
