neighbourhood,latitude,longitude,room_type,price,stars
Nrrebro,55.68786,12.56347,Entire home/apt,900,1
Nrrebro,55.69261,12.54735,Private room,542,1
Frederiksberg,55.6856,12.53438,Entire home/apt,780,3
Vesterbro-Kongens Enghave,55.64639,12.54698,Entire home/apt,450,4
Amager st,55.66535,12.60133,Private room,379,5
Amager st,55.6688,12.61704,Entire home/apt,1999,3
Amager Vest,55.64378,12.58822,Entire home/apt,1200,3
Nrrebro,55.69377,12.54614,Entire home/apt,550,5
Nrrebro,55.68604,12.55658,Entire home/apt,1600,1
Frederiksberg,55.68034,12.50788,Entire home/apt,500,4
Amager Vest,55.64712,12.5911,Entire home/apt,950,4
Vesterbro-Kongens Enghave,55.66912,12.55776,Private room,535,5
Nrrebro,55.70147,12.54103,Entire home/apt,1000,1
Indre By,55.66909,12.58798,Entire home/apt,1200,3
Amager st,55.66084,12.61434,Entire home/apt,575,5
Amager Vest,55.66829,12.57819,Entire home/apt,630,5
Amager st,55.66163,12.61373,Entire home/apt,800,4
Vesterbro-Kongens Enghave,55.66985,12.55059,Entire home/apt,967,4
Bispebjerg,55.70119,12.52616,Private room,225,1
Bispebjerg,55.70585,12.53223,Entire home/apt,771,3
Amager Vest,55.66226,12.58126,Entire home/apt,750,3
Vesterbro-Kongens Enghave,55.666,12.53889,Entire home/apt,558,3
Vesterbro-Kongens Enghave,55.66608,12.55352,Private room,465,2
Indre By,55.68438,12.5852,Entire home/apt,990,3
Vesterbro-Kongens Enghave,55.67254,12.55231,Private room,600,1
Vesterbro-Kongens Enghave,55.66425,12.54188,Entire home/apt,699,4
Bispebjerg,55.71263,12.51585,Entire home/apt,650,1
Amager Vest,55.66728,12.57947,Entire home/apt,1500,2
Vesterbro-Kongens Enghave,55.65041,12.55036,Entire home/apt,500,2
Indre By,55.68224,12.56519,Entire home/apt,500,4
Vesterbro-Kongens Enghave,55.66444,12.54247,Entire home/apt,650,2
Valby,55.66394,12.50493,Entire home/apt,900,3
Amager Vest,55.65489,12.60423,Entire home/apt,976,2
Amager Vest,55.66345,12.58133,Entire home/apt,1200,5
Frederiksberg,55.67648,12.55204,Private room,650,3
Amager Vest,55.65072,12.59104,Entire home/apt,2500,3
Amager st,55.6609,12.61231,Entire home/apt,799,2
Valby,55.67561,12.48657,Entire home/apt,946,5
Nrrebro,55.69442,12.54689,Entire home/apt,600,2
Bispebjerg,55.70002,12.52703,Entire home/apt,499,5
Vesterbro-Kongens Enghave,55.66365,12.54581,Entire home/apt,1042,5
Nrrebro,55.69291,12.55973,Entire home/apt,800,4
Vesterbro-Kongens Enghave,55.6591,12.56034,Entire home/apt,1995,4
Vesterbro-Kongens Enghave,55.67197,12.55368,Entire home/apt,1000,5
Indre By,55.68192,12.56377,Entire home/apt,875,4
Vesterbro-Kongens Enghave,55.66638,12.54894,Entire home/apt,1000,4
Vesterbro-Kongens Enghave,55.67229,12.54868,Entire home/apt,1090,1
Amager Vest,55.65689,12.60869,Private room,390,1
Nrrebro,55.69818,12.54796,Entire home/apt,1000,5
Frederiksberg,55.68549,12.50394,Private room,357,5
Amager st,55.66585,12.6156,Private room,211,3
Brnshj-Husum,55.71514,12.47125,Entire home/apt,1000,5
Brnshj-Husum,55.70956,12.46437,Private room,260,4
Valby,55.66432,12.5217,Entire home/apt,650,5
Amager Vest,55.62403,12.57334,Entire home/apt,1200,3
Frederiksberg,55.68265,12.51065,Private room,1929,2
Vesterbro-Kongens Enghave,55.67135,12.55491,Entire home/apt,1800,2
Indre By,55.67285,12.59907,Entire home/apt,750,5
Frederiksberg,55.68453,12.55277,Entire home/apt,1500,4
Vesterbro-Kongens Enghave,55.67231,12.55374,Private room,506,1
Vanlse,55.69248,12.50898,Entire home/apt,800,2
Nrrebro,55.6931,12.54416,Entire home/apt,614,1
sterbro,55.71139,12.55683,Entire home/apt,1500,2
Nrrebro,55.69917,12.54636,Entire home/apt,700,4
Frederiksberg,55.69234,12.53054,Entire home/apt,700,3
Nrrebro,55.69338,12.54996,Entire home/apt,353,5
Indre By,55.67601,12.5989,Entire home/apt,1000,5
Frederiksberg,55.68224,12.53692,Entire home/apt,750,5
Amager st,55.65105,12.61433,Entire home/apt,1000,3
Nrrebro,55.6983,12.55492,Entire home/apt,400,5
Vesterbro-Kongens Enghave,55.66993,12.54453,Entire home/apt,850,1
Indre By,55.68214,12.56112,Entire home/apt,925,2
Frederiksberg,55.67232,12.5395,Entire home/apt,1500,2
Nrrebro,55.69098,12.55764,Entire home/apt,893,5
Frederiksberg,55.68241,12.52354,Entire home/apt,1500,4
Indre By,55.68815,12.58523,Entire home/apt,899,2
Nrrebro,55.68824,12.56263,Entire home/apt,2500,2
Vesterbro-Kongens Enghave,55.6694,12.53701,Private room,400,3
Frederiksberg,55.68755,12.54092,Entire home/apt,550,5
Amager st,55.66293,12.60209,Private room,341,3
Indre By,55.67474,12.59836,Entire home/apt,824,2
Amager st,55.66285,12.61376,Entire home/apt,725,2
Nrrebro,55.70208,12.54306,Entire home/apt,476,3
Nrrebro,55.6991,12.55108,Entire home/apt,668,2
Valby,55.66355,12.51972,Private room,400,4
Frederiksberg,55.6732,12.53864,Entire home/apt,1500,4
Indre By,55.67395,12.57525,Entire home/apt,900,5
sterbro,55.70648,12.55833,Entire home/apt,790,5
Vanlse,55.6883,12.49203,Entire home/apt,450,4
sterbro,55.7103577306966,12.5812319138166,Entire home/apt,800,4
Vesterbro-Kongens Enghave,55.66912,12.53919,Entire home/apt,780,2
Nrrebro,55.69008,12.55917,Entire home/apt,750,2
Indre By,55.67788,12.57369,Entire home/apt,1317,5
Indre By,55.67853,12.57606,Entire home/apt,1300,5
Nrrebro,55.70139,12.53885,Entire home/apt,500,2
Vesterbro-Kongens Enghave,55.67232,12.55901,Entire home/apt,1057,5
sterbro,55.70867,12.58957,Entire home/apt,600,3
Vesterbro-Kongens Enghave,55.66543,12.54714,Entire home/apt,1500,3
Nrrebro,55.69497,12.55057,Entire home/apt,600,4
Nrrebro,55.69105,12.56221,Entire home/apt,1250,3
Vesterbro-Kongens Enghave,55.64522,12.55141,Entire home/apt,997,4
Vesterbro-Kongens Enghave,55.67388,12.55172,Entire home/apt,1100,3
Amager st,55.64723,12.62845,Entire home/apt,1999,3
sterbro,55.70939,12.58644,Entire home/apt,953,2
sterbro,55.70035,12.58682,Entire home/apt,1200,1
Vanlse,55.68151,12.479,Entire home/apt,800,1
Indre By,55.67539,12.59861,Entire home/apt,800,1
sterbro,55.70274,12.57816,Entire home/apt,4250,1
Frederiksberg,55.68564,12.53958,Entire home/apt,800,2
Nrrebro,55.69189,12.54433,Private room,600,4
sterbro,55.72831,12.57133,Entire home/apt,1480,3
Vesterbro-Kongens Enghave,55.66469,12.55618,Entire home/apt,971,5
Amager Vest,55.63204,12.58905,Entire home/apt,1400,3
Indre By,55.6869,12.59003,Entire home/apt,1200,2
Frederiksberg,55.67676,12.556,Entire home/apt,2200,2
Amager Vest,55.66639,12.57786,Entire home/apt,650,4
Nrrebro,55.70013,12.54321,Entire home/apt,850,3
Vesterbro-Kongens Enghave,55.6649,12.54789,Entire home/apt,1300,4
Frederiksberg,55.68527,12.53127,Entire home/apt,575,4
Vesterbro-Kongens Enghave,55.66998,12.54971,Entire home/apt,950,5
Bispebjerg,55.72303,12.52285,Private room,300,3
Nrrebro,55.69616,12.54485,Entire home/apt,1000,1
Frederiksberg,55.68921,12.5239,Entire home/apt,1150,5
Bispebjerg,55.69668,12.52771,Entire home/apt,700,1
Vesterbro-Kongens Enghave,55.66918,12.54715,Entire home/apt,970,3
Indre By,55.68575,12.58113,Entire home/apt,600,5
Frederiksberg,55.68139,12.52292,Private room,400,5
Bispebjerg,55.70589,12.53074,Entire home/apt,690,4
Amager st,55.66493,12.61638,Entire home/apt,800,5
Indre By,55.66947,12.59972,Entire home/apt,900,1
Nrrebro,55.688084,12.546777,Private room,500,1
Indre By,55.68318,12.56371,Entire home/apt,1200,4
Indre By,55.6745,12.59494,Entire home/apt,3644,3
Vesterbro-Kongens Enghave,55.66744,12.54637,Entire home/apt,850,1
Indre By,55.67433,12.57286,Entire home/apt,1824,3
Vesterbro-Kongens Enghave,55.67331,12.55047,Entire home/apt,1614,5
sterbro,55.71125,12.56044,Private room,800,5
Indre By,55.68464,12.5844,Private room,240,1
Nrrebro,55.70231,12.55134,Entire home/apt,600,3
Nrrebro,55.68769,12.56232,Entire home/apt,1550,5
Indre By,55.67435,12.59445,Entire home/apt,1200,1
Amager Vest,55.64567,12.59568,Entire home/apt,1450,2
Indre By,55.67514,12.60083,Entire home/apt,770,1
Frederiksberg,55.6818,12.51496,Entire home/apt,679,4
sterbro,55.69831,12.58729,Private room,396,5
Amager st,55.66657,12.59903,Private room,607,1
sterbro,55.69797,12.58392,Entire home/apt,1350,2
Vesterbro-Kongens Enghave,55.66923,12.55389,Entire home/apt,750,5
Bispebjerg,55.69961,12.52949,Entire home/apt,1250,1
Vesterbro-Kongens Enghave,55.6683,12.55001,Entire home/apt,864,5
Frederiksberg,55.68307,12.5495,Entire home/apt,1500,2
Indre By,55.68429,12.56385,Entire home/apt,1200,2
Vesterbro-Kongens Enghave,55.66517,12.54465,Entire home/apt,1250,5
Nrrebro,55.69108,12.55992,Entire home/apt,1000,5
Amager st,55.65513,12.61132,Entire home/apt,1055,1
Vesterbro-Kongens Enghave,55.6644234958404,12.5475169632849,Entire home/apt,855,1
Frederiksberg,55.67108,12.53354,Entire home/apt,1250,1
Indre By,55.6767,12.58878,Entire home/apt,1100,3
Valby,55.65946,12.49482,Entire home/apt,520,2
Indre By,55.68466,12.56829,Entire home/apt,1050,4
Nrrebro,55.68846,12.56104,Entire home/apt,950,1
Indre By,55.67865,12.57,Entire home/apt,2450,2
Valby,55.66356,12.52018,Entire home/apt,556,4
Vesterbro-Kongens Enghave,55.67094,12.54469,Entire home/apt,650,3
Valby,55.65868,12.51035,Entire home/apt,900,5
sterbro,55.7045,12.58146,Entire home/apt,890,2
Nrrebro,55.69863,12.54285,Private room,375,2
Nrrebro,55.68569,12.55422,Entire home/apt,800,5
Frederiksberg,55.69425,12.53239,Entire home/apt,793,5
Frederiksberg,55.68211,12.52419,Entire home/apt,980,4
Indre By,55.68989,12.58328,Private room,2000,2
Indre By,55.67704,12.57555,Private room,450,2
Indre By,55.68303,12.56805,Entire home/apt,2232,4
Indre By,55.67854,12.57635,Entire home/apt,3722,1
Indre By,55.67841,12.57639,Entire home/apt,2899,4
Nrrebro,55.69094,12.53894,Entire home/apt,1188,1
Indre By,55.68231,12.56384,Entire home/apt,1000,5
Frederiksberg,55.67928,12.51941,Entire home/apt,799,3
Indre By,55.68421,12.56552,Entire home/apt,2000,5
Nrrebro,55.68478,12.55731,Entire home/apt,979,2
Valby,55.65798,12.52067,Entire home/apt,1021,5
Nrrebro,55.69751,12.54732,Entire home/apt,529,1
Amager st,55.66682,12.62362,Private room,350,3
Bispebjerg,55.70263,12.528,Entire home/apt,563,4
Frederiksberg,55.67903,12.53747,Entire home/apt,2185,5
Frederiksberg,55.67304,12.54863,Entire home/apt,1457,1
Amager Vest,55.66328,12.58098,Entire home/apt,1000,5
Nrrebro,55.69517,12.55747,Entire home/apt,1200,4
sterbro,55.70384,12.58843,Entire home/apt,800,4
sterbro,55.70584,12.58611,Entire home/apt,967,2
Valby,55.66307,12.509,Entire home/apt,509,3
Vesterbro-Kongens Enghave,55.67129,12.54708,Entire home/apt,1079,4
Nrrebro,55.69427,12.54547,Private room,335,1
Nrrebro,55.70099,12.54823,Entire home/apt,900,5
Vesterbro-Kongens Enghave,55.67208,12.56303,Entire home/apt,1200,2
Nrrebro,55.69765,12.54571,Entire home/apt,501,2
Valby,55.66894,12.50938,Entire home/apt,807,1
Nrrebro,55.69068,12.54316,Entire home/apt,679,5
Vesterbro-Kongens Enghave,55.67,12.54524,Entire home/apt,800,5
Nrrebro,55.69851,12.54581,Entire home/apt,1298,2
Nrrebro,55.68912,12.55628,Private room,514,3
Indre By,55.68635,12.56793,Entire home/apt,1900,5
Valby,55.66909,12.48707,Entire home/apt,1000,1
Nrrebro,55.69465,12.54933,Private room,425,3
Amager Vest,55.65732,12.60665,Private room,334,3
Nrrebro,55.68855,12.56084,Entire home/apt,550,1
Indre By,55.67511,12.59914,Entire home/apt,1300,5
Amager st,55.64495,12.62715,Entire home/apt,1200,5
Vanlse,55.69631,12.50556,Entire home/apt,2000,3
sterbro,55.70293,12.58594,Entire home/apt,400,4
Nrrebro,55.69105,12.53941,Entire home/apt,937,3
sterbro,55.70431,12.57846,Entire home/apt,1099,5
Amager Vest,55.6582,12.56767,Entire home/apt,76,1
Amager st,55.66209,12.60488,Entire home/apt,893,3
Vesterbro-Kongens Enghave,55.66406,12.54778,Entire home/apt,699,4
Vanlse,55.69589,12.50922,Entire home/apt,1108,2
sterbro,55.69592,12.57304,Entire home/apt,500,1
sterbro,55.7055,12.58528,Entire home/apt,2000,1
sterbro,55.71318,12.55919,Private room,223,2
Nrrebro,55.69395,12.55511,Entire home/apt,595,5
sterbro,55.70754,12.58902,Entire home/apt,900,5
Nrrebro,55.69568,12.5506,Entire home/apt,1550,5
Nrrebro,55.69641,12.54578,Entire home/apt,590,2
sterbro,55.70164,12.58141,Entire home/apt,1285,5
Indre By,55.67575,12.56936,Entire home/apt,2050,5
Amager Vest,55.64682,12.59898,Entire home/apt,700,5
Indre By,55.67789,12.58338,Entire home/apt,1100,2
Indre By,55.6851,12.56707,Entire home/apt,1450,4
Nrrebro,55.68539,12.56047,Entire home/apt,1588,1
Indre By,55.68672,12.56665,Entire home/apt,2500,2
Nrrebro,55.69066,12.55762,Entire home/apt,1358,2
sterbro,55.71021,12.56509,Entire home/apt,595,5
sterbro,55.70632,12.57165,Private room,2100,5
Amager Vest,55.64775,12.61265,Entire home/apt,1399,3
Frederiksberg,55.68224,12.50041,Entire home/apt,700,2
Nrrebro,55.68619,12.55695,Private room,590,4
Vesterbro-Kongens Enghave,55.66434,12.54947,Entire home/apt,900,4
Valby,55.66868,12.51136,Entire home/apt,600,2
Nrrebro,55.6958,12.54448,Entire home/apt,2500,1
Amager Vest,55.66227,12.57979,Entire home/apt,664,3
Amager Vest,55.65988,12.60303,Private room,558,1
sterbro,55.69547,12.57299,Entire home/apt,700,2
Amager Vest,55.66681,12.58492,Private room,497,1
Indre By,55.69719,12.58995,Entire home/apt,850,5
Nrrebro,55.69979,12.54987,Entire home/apt,529,5
Nrrebro,55.6971,12.55683,Entire home/apt,779,3
Nrrebro,55.69828,12.55537,Entire home/apt,550,5
Brnshj-Husum,55.70178,12.5018,Entire home/apt,4464,3
Indre By,55.68365,12.58292,Entire home/apt,1093,2
Valby,55.65695,12.52433,Entire home/apt,712,5
Amager st,55.66349,12.60451,Entire home/apt,450,5
Nrrebro,55.70171,12.542,Entire home/apt,700,2
Amager Vest,55.65512,12.60228,Entire home/apt,700,2
Amager st,55.6678,12.60024,Private room,500,3
Vesterbro-Kongens Enghave,55.66654,12.55677,Entire home/apt,950,5
Vesterbro-Kongens Enghave,55.64675,12.5509,Private room,199,1
Indre By,55.68868,12.57301,Entire home/apt,1017,5
Vanlse,55.6927,12.49411,Entire home/apt,1000,3
Amager st,55.65554,12.61248,Entire home/apt,1150,1
Indre By,55.697,12.58834,Private room,347,4
Bispebjerg,55.72504,12.52447,Entire home/apt,1000,1
Vesterbro-Kongens Enghave,55.66646,12.54188,Entire home/apt,871,2
Brnshj-Husum,55.70236,12.482,Entire home/apt,500,4
Amager st,55.65682,12.63562,Entire home/apt,1475,5
Frederiksberg,55.68407,12.53298,Entire home/apt,799,2
Amager st,55.65334,12.62775,Entire home/apt,900,1
sterbro,55.69364,12.57139,Entire home/apt,3450,4
sterbro,55.70668,12.58918,Entire home/apt,680,2
Nrrebro,55.69519,12.548,Entire home/apt,893,1
sterbro,55.70012,12.58809,Entire home/apt,450,1
Indre By,55.67582,12.57382,Entire home/apt,2471,4
Nrrebro,55.69074,12.55383,Entire home/apt,1050,2
Amager Vest,55.66928,12.58039,Entire home/apt,1488,4
Frederiksberg,55.68552,12.52758,Entire home/apt,839,2
Bispebjerg,55.70673,12.53652,Entire home/apt,697,1
Bispebjerg,55.70465,12.53117,Entire home/apt,950,4
Amager Vest,55.66469,12.59499,Entire home/apt,2500,3
Nrrebro,55.69549,12.53775,Entire home/apt,630,3
Indre By,55.69198,12.57698,Entire home/apt,350,3
Frederiksberg,55.67708,12.5086,Entire home/apt,1100,1
Frederiksberg,55.67576,12.53907,Private room,750,1
Indre By,55.6854,12.61391,Private room,260,4
Vanlse,55.68054,12.48917,Private room,275,4
Indre By,55.67615,12.59537,Entire home/apt,1993,1
Indre By,55.68832,12.5649,Entire home/apt,1250,5
Vanlse,55.68171,12.49047,Entire home/apt,700,4
Frederiksberg,55.69292,12.53247,Entire home/apt,1099,1
Vesterbro-Kongens Enghave,55.67211,12.5523,Entire home/apt,1800,4
Frederiksberg,55.67803,12.53532,Private room,450,2
Amager Vest,55.66281,12.57951,Entire home/apt,800,2
Amager st,55.65324,12.61898,Entire home/apt,6571,3
Nrrebro,55.69293,12.54197,Entire home/apt,650,1
Indre By,55.68582,12.60933,Entire home/apt,1450,4
Vesterbro-Kongens Enghave,55.66334,12.54345,Entire home/apt,750,2
Vanlse,55.69153,12.50127,Entire home/apt,500,4
Amager Vest,55.66716,12.59743,Private room,412,3
Indre By,55.68554,12.58548,Entire home/apt,1490,5
sterbro,55.69994,12.58711,Entire home/apt,1159,3
Nrrebro,55.69182,12.54171,Entire home/apt,543,3
Vesterbro-Kongens Enghave,55.66822,12.54905,Entire home/apt,800,2
Nrrebro,55.69113,12.55715,Entire home/apt,600,4
Frederiksberg,55.69282,12.53211,Private room,220,4
Indre By,55.67308,12.58947,Entire home/apt,699,3
sterbro,55.70675,12.55926,Private room,399,4
Indre By,55.69414,12.57683,Private room,800,5
Nrrebro,55.69768,12.55586,Entire home/apt,609,4
Nrrebro,55.69343,12.55489,Entire home/apt,650,2
Nrrebro,55.68524,12.55691,Entire home/apt,800,5
Nrrebro,55.69781,12.54013,Entire home/apt,1200,1
Vesterbro-Kongens Enghave,55.67051,12.54917,Entire home/apt,734,4
sterbro,55.71307,12.55955,Private room,255,3
Vesterbro-Kongens Enghave,55.66365,12.55317,Entire home/apt,945,5
Frederiksberg,55.6815,12.5113,Private room,1500,1
Indre By,55.68641,12.61539,Entire home/apt,1093,1
Vesterbro-Kongens Enghave,55.66964,12.56396,Private room,795,3
sterbro,55.70024,12.57978,Entire home/apt,1471,5
Amager Vest,55.659084,12.602121,Entire home/apt,782,1
Indre By,55.68359,12.59055,Entire home/apt,4648,2
Bispebjerg,55.71226,12.53573,Private room,140,3
Nrrebro,55.6915,12.54706,Entire home/apt,950,1
Amager Vest,55.66757,12.57907,Entire home/apt,1500,3
Nrrebro,55.68877,12.54895,Entire home/apt,1700,1
Amager st,55.664172512499,12.6136610367361,Entire home/apt,1000,4
Frederiksberg,55.67434,12.54071,Entire home/apt,2950,2
Amager st,55.64592,12.61687,Entire home/apt,400,5
Vesterbro-Kongens Enghave,55.67078,12.55119,Entire home/apt,1200,3
sterbro,55.70209,12.58841,Entire home/apt,1700,3
Amager st,55.66882,12.61751,Entire home/apt,1300,1
Bispebjerg,55.70224,12.53311,Entire home/apt,500,5
Vesterbro-Kongens Enghave,55.66609,12.55009,Entire home/apt,600,3
Vesterbro-Kongens Enghave,55.66793,12.54686,Private room,300,1
Vesterbro-Kongens Enghave,55.65189,12.54881,Entire home/apt,924,4
Nrrebro,55.69462,12.55121,Entire home/apt,779,5
Nrrebro,55.69815,12.55116,Entire home/apt,1050,2
Frederiksberg,55.68364,12.53359,Entire home/apt,661,3
Amager st,55.66252,12.60859,Entire home/apt,549,2
Vesterbro-Kongens Enghave,55.67334,12.55264,Entire home/apt,2800,1
Vanlse,55.69102,12.50669,Entire home/apt,1050,1
Nrrebro,55.70248,12.54301,Entire home/apt,995,3
Valby,55.66519,12.49554,Entire home/apt,950,1
Nrrebro,55.69423,12.54361,Entire home/apt,750,5
Frederiksberg,55.6732,12.54729,Entire home/apt,1799,1
Amager st,55.66559,12.60645,Entire home/apt,800,2
Frederiksberg,55.68616,12.53833,Entire home/apt,650,5
Frederiksberg,55.67913,12.55296,Entire home/apt,1100,5
Vanlse,55.69609,12.4781,Entire home/apt,1429,2
Amager Vest,55.64371,12.60546,Entire home/apt,2134,2
Amager Vest,55.6677,12.59152,Entire home/apt,1200,2
sterbro,55.71609,12.57264,Entire home/apt,1900,3
Indre By,55.68476,12.58405,Entire home/apt,1075,5
Indre By,55.67994,12.56833,Entire home/apt,800,5
Brnshj-Husum,55.70889,12.46306,Private room,260,2
Nrrebro,55.68814,12.54426,Entire home/apt,714,4
Indre By,55.6806,12.58164,Entire home/apt,999,2
Indre By,55.67736,12.59042,Entire home/apt,3500,1
Nrrebro,55.69634,12.5407,Entire home/apt,425,2
sterbro,55.69389,12.57238,Entire home/apt,400,4
Amager Vest,55.6452,12.5928,Entire home/apt,950,4
sterbro,55.69873,12.58701,Entire home/apt,1000,2
Indre By,55.67938,12.60289,Entire home/apt,1300,4
Vesterbro-Kongens Enghave,55.67211,12.55968,Entire home/apt,1200,3
Nrrebro,55.68528,12.54903,Entire home/apt,1038,4
Amager Vest,55.66082,12.60207,Entire home/apt,907,1
Indre By,55.68985,12.57269,Private room,410,4
Frederiksberg,55.68115,12.52324,Entire home/apt,1000,3
Nrrebro,55.69854,12.54585,Entire home/apt,1000,2
Indre By,55.6894,12.56972,Entire home/apt,2000,5
Vesterbro-Kongens Enghave,55.67199,12.54568,Entire home/apt,950,3
Amager Vest,55.64521,12.58953,Entire home/apt,1144,4
Indre By,55.6791,12.58575,Entire home/apt,658,4
Nrrebro,55.70275,12.5491,Entire home/apt,588,5
sterbro,55.70867,12.58405,Entire home/apt,1500,2
sterbro,55.6968,12.57468,Entire home/apt,900,3
Frederiksberg,55.67714,12.54968,Entire home/apt,800,1
sterbro,55.70096,12.58049,Entire home/apt,1200,1
Frederiksberg,55.67687,12.54247,Entire home/apt,1200,5
Bispebjerg,55.71066,12.5289,Entire home/apt,600,2
Frederiksberg,55.67675,12.54998,Private room,295,2
Vesterbro-Kongens Enghave,55.67101,12.54649,Entire home/apt,924,3
Frederiksberg,55.67738,12.54978,Private room,295,1
Frederiksberg,55.67709,12.55113,Private room,295,5
sterbro,55.7142,12.57506,Entire home/apt,750,2
Vesterbro-Kongens Enghave,55.67032,12.54125,Entire home/apt,971,4
Nrrebro,55.68665,12.55804,Entire home/apt,1286,4
Amager Vest,55.66384,12.59703,Entire home/apt,850,2
Amager st,55.66635,12.59885,Entire home/apt,650,1
Frederiksberg,55.67418,12.50381,Entire home/apt,950,1
Vanlse,55.69362,12.5185,Entire home/apt,1300,4
Vanlse,55.67916,12.48055,Entire home/apt,900,1
Indre By,55.68119,12.57348,Private room,850,5
sterbro,55.70653,12.57905,Entire home/apt,650,3
Frederiksberg,55.68866,12.53848,Entire home/apt,949,3
Valby,55.6768634742353,12.4901481715956,Entire home/apt,1200,1
Vesterbro-Kongens Enghave,55.66438,12.54795,Entire home/apt,850,2
sterbro,55.70003,12.57681,Private room,650,2
Frederiksberg,55.6685808319989,12.518696697941,Entire home/apt,720,4
Indre By,55.68159,12.58132,Entire home/apt,854,1
sterbro,55.69732,12.58097,Entire home/apt,1300,5
Indre By,55.67746,12.58833,Entire home/apt,1100,1
sterbro,55.70814,12.56799,Entire home/apt,1800,4
Indre By,55.68135,12.56225,Entire home/apt,1500,3
Indre By,55.67932,12.57467,Entire home/apt,795,2
Frederiksberg,55.68237,12.54137,Entire home/apt,1300,3
Indre By,55.67098,12.57525,Entire home/apt,1680,1
Brnshj-Husum,55.70794,12.46215,Private room,450,3
Amager Vest,55.65791,12.60601,Entire home/apt,1050,1
sterbro,55.69939,12.58691,Entire home/apt,1000,2
sterbro,55.69877,12.5851,Entire home/apt,967,1
Frederiksberg,55.69202,12.53116,Entire home/apt,700,1
Amager Vest,55.65553,12.60411,Private room,350,5
Indre By,55.68787,12.5805,Entire home/apt,1000,1
Indre By,55.68113,12.59004,Private room,1250,3
Nrrebro,55.69316,12.55361,Entire home/apt,1300,2
Bispebjerg,55.71056,12.51682,Entire home/apt,900,1
sterbro,55.70056,12.58946,Entire home/apt,893,5
Vanlse,55.69437,12.49995,Entire home/apt,343,2
sterbro,55.70051,12.58413,Entire home/apt,750,2
Indre By,55.68391,12.56844,Entire home/apt,2500,3
sterbro,55.70643,12.58522,Entire home/apt,899,5
Nrrebro,55.69228,12.5448,Entire home/apt,670,5
Amager st,55.65742,12.63497,Entire home/apt,1695,3
sterbro,55.70425,12.57694,Entire home/apt,925,2
Vanlse,55.69501,12.4774,Private room,400,4
Vesterbro-Kongens Enghave,55.66703,12.55676,Entire home/apt,842,1
Vesterbro-Kongens Enghave,55.66748,12.55535,Entire home/apt,600,4
sterbro,55.69939,12.58713,Entire home/apt,950,2
Indre By,55.67606,12.57506,Entire home/apt,5500,3
Frederiksberg,55.68207,12.53681,Entire home/apt,4000,3
Frederiksberg,55.67893,12.53434,Entire home/apt,949,4
sterbro,55.70415,12.585,Entire home/apt,699,3
Amager Vest,55.66411,12.58047,Entire home/apt,1600,1
Nrrebro,55.7009,12.54816,Entire home/apt,1346,2
Frederiksberg,55.68408,12.53339,Entire home/apt,494,5
Frederiksberg,55.68039,12.55003,Entire home/apt,1300,2
Indre By,55.68192,12.579,Entire home/apt,1100,1
Frederiksberg,55.6777,12.51077,Entire home/apt,1225,1
Vesterbro-Kongens Enghave,55.66605,12.54821,Private room,326,1
Frederiksberg,55.67394,12.54352,Entire home/apt,1339,5
Indre By,55.67651,12.58892,Entire home/apt,1250,5
Vesterbro-Kongens Enghave,55.67069,12.55751,Entire home/apt,1500,4
Frederiksberg,55.6776,12.52677,Private room,280,4
sterbro,55.70991,12.57596,Entire home/apt,808,3
Nrrebro,55.68556,12.55904,Entire home/apt,550,1
Frederiksberg,55.68276,12.55006,Entire home/apt,1200,3
Vesterbro-Kongens Enghave,55.66329,12.54802,Private room,470,5
Nrrebro,55.69,12.55404,Entire home/apt,850,4
Indre By,55.67873,12.56768,Entire home/apt,1520,4
Amager Vest,55.66595,12.59595,Entire home/apt,2000,4
Valby,55.66539,12.51558,Entire home/apt,900,4
sterbro,55.70148,12.57974,Entire home/apt,1350,2
Indre By,55.67572,12.59704,Entire home/apt,850,1
Vesterbro-Kongens Enghave,55.6728,12.55429,Private room,340,3
Indre By,55.694626,12.578478,Entire home/apt,1040,1
Amager Vest,55.65025,12.60371,Entire home/apt,3366,1
Vesterbro-Kongens Enghave,55.66888,12.55602,Entire home/apt,1860,2
Nrrebro,55.696,12.53833,Private room,313,1
sterbro,55.70638,12.58085,Entire home/apt,695,2
Vesterbro-Kongens Enghave,55.65019,12.54334,Entire home/apt,1000,4
Amager Vest,55.66182,12.57047,Entire home/apt,899,4
Bispebjerg,55.70254,12.52779,Entire home/apt,300,2
Indre By,55.69115,12.57377,Entire home/apt,1800,1
Indre By,55.68972,12.57506,Entire home/apt,1200,5
Indre By,55.68011,12.58805,Entire home/apt,995,5
Vesterbro-Kongens Enghave,55.66883,12.54397,Entire home/apt,1657,3
Vesterbro-Kongens Enghave,55.67102,12.54809,Shared room,250,3
Vesterbro-Kongens Enghave,55.66329,12.54759,Entire home/apt,629,3
Nrrebro,55.69633,12.53963,Entire home/apt,930,3
Amager st,55.65261,12.62246,Entire home/apt,535,3
Amager st,55.65847,12.63403,Entire home/apt,1291,5
sterbro,55.69499,12.57024,Entire home/apt,600,5
Valby,55.6758,12.48691,Entire home/apt,20000,1
Vesterbro-Kongens Enghave,55.669,12.54589,Entire home/apt,525,2
Vesterbro-Kongens Enghave,55.64753,12.5485,Private room,710,4
